Name,Sector,Address,City,State,Zip,Waste_Tons,Latitude,Longitude,Source_File
Murphy S Gourmet Concession,Limited-Service Restaurants,8618 Deer Haven St,Dayton,OH,45424.0,15.0,39.877632,-84.105299,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,1507 Wayne Ave,Dayton,OH,45410.0,43.5,39.747243,-84.172201,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,1880 E Dorothy Ln,Dayton,OH,45429.0,43.5,39.702724,-84.12978,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,2948 Mmsburg Cntrville Rd,Dayton,OH,45459.0,43.5,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
"Muy Hamburger Partners, LLC",Limited-Service Restaurants,4873 Airway Rd,Dayton,OH,45431.0,43.5,39.769385,-84.123913,RestaurantsAndFoodServices.xlsx
Mr Sammich LLC,Full-Service Restaurants,5239 Cornerstone N Blvd,Dayton,OH,45440.0,25.44,39.663854,-84.107952,RestaurantsAndFoodServices.xlsx
Persis Indian Grill,Full-Service Restaurants,7106 Corporate Way,Dayton,OH,45459.0,15.264,39.640545,-84.164821,RestaurantsAndFoodServices.xlsx
Phat & Rich Tex Mex LLC,Full-Service Restaurants,6826 Loop Rd,Dayton,OH,45459.0,10.176,39.645572,-84.147386,RestaurantsAndFoodServices.xlsx
Piada,Full-Service Restaurants,1047 Mmsburg Cntrville Rd,Dayton,OH,45459.0,23.744,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
"Red Robin International, Inc.",Full-Service Restaurants,6404 Miller Ln,Dayton,OH,45414.0,30.528,39.840816,-84.190971,RestaurantsAndFoodServices.xlsx
Rice Chinese Restaurant,Full-Service Restaurants,3100 E 3rd St,Dayton,OH,45403.0,23.744,39.766049,-84.150877,RestaurantsAndFoodServices.xlsx
Rip Rap Roadhouse,Full-Service Restaurants,6024 Rip Rap Rd,Dayton,OH,45424.0,11.872,39.84275,-84.166909,RestaurantsAndFoodServices.xlsx
Ritter's Frozen Custard,Limited-Service Restaurants,2226 Wilmington Pike,Dayton,OH,45420.0,34.5,39.71486,-84.14424,RestaurantsAndFoodServices.xlsx
Robert C Zember,Limited-Service Restaurants,235 Lowes St,Dayton,OH,45409.0,13.5,39.734763,-84.17911,RestaurantsAndFoodServices.xlsx
Robert Vanderhule,Full-Service Restaurants,8800 Meeker Rd,Dayton,OH,45414.0,28.832,39.855487,-84.264251,RestaurantsAndFoodServices.xlsx
Red House Chinese Restaurant LLC,Full-Service Restaurants,3221 N Main St,Dayton,OH,45405.0,13.568,39.794782,-84.216483,RestaurantsAndFoodServices.xlsx
Rooted Grounds Coffee Co LLC,Limited-Service Restaurants,10795 Falls Creek Ln,Dayton,OH,45458.0,27.0,39.584559,-84.192867,RestaurantsAndFoodServices.xlsx
Sakura Express,Full-Service Restaurants,2700 Mmsburg Cntrville Rd,Dayton,OH,45459.0,22.048,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
Sally's Kitchen,Full-Service Restaurants,6377 Hoover Ave,Dayton,OH,45417.0,1.696,39.761009,-84.299495,RestaurantsAndFoodServices.xlsx
Scott A Mitchell,Caterers,2413 Carnegie St,Dayton,OH,45406.0,5.088,39.791926,-84.256128,RestaurantsAndFoodServices.xlsx
Scratch Catering,Caterers,767 Mmsburg Cnterville Rd,Dayton,OH,45459.0,27.136,39.773777,-84.140339,RestaurantsAndFoodServices.xlsx
C. & D Cruise Thru,Convenience Stores,101 Springfield St,Dayton,OH,45403.0,13.92,39.765421,-84.163223,FoodWholesaleAndRetail.xlsx
